마카, 70, 194
타카, 79, 188
자타, 42, 141
아라, 46, 147
가파, 76, 175
가차, 52, 184
다파, 75, 154
아하, 94, 141
아타, 73, 157
사카, 91, 196
자하, 79, 162
자마, 61, 144
하바, 86, 158
차마, 95, 145
바라, 96, 190
타하, 60, 173
차가, 47, 163
타바, 45, 157
바가, 58, 198
마카, 51, 173
아타, 72, 181
바라, 70, 168
자가, 91, 143
아나, 40, 160
가마, 92, 152
아가, 76, 171
파가, 72, 159
나자, 52, 192
나하, 52, 173
라사, 46, 186
아다, 75, 162
가하, 63, 174
나하, 59, 174
아다, 70, 145
하파, 45, 158
마카, 76, 196
아가, 76, 155
차아, 58, 172
자마, 87, 157
자자, 74, 166
마사, 85, 188
나아, 66, 172
가마, 51, 165
타파, 79, 188
사가, 58, 144
타타, 80, 160
카사, 75, 178
파타, 53, 193
가바, 70, 177
가라, 55, 185
카자, 74, 162
카하, 94, 174
다자, 49, 143
가하, 73, 147
가바, 62, 141
다라, 98, 186
사차, 59, 147
나차, 99, 160
사하, 72, 147
바파, 70, 191
차하, 60, 188
하마, 87, 158
아차, 71, 172
타아, 98, 143
카자, 58, 182
카하, 73, 147
나가, 70, 182
아라, 59, 158
타바, 72, 181
사마, 86, 171
카마, 44, 177
바나, 75, 163
하나, 47, 196
바마, 49, 160
아나, 44, 179
다아, 54, 180
카다, 52, 152
자사, 78, 165
사파, 66, 157
카나, 79, 153
차나, 68, 159
타차, 81, 156
라다, 72, 192
라라, 51, 197
아라, 63, 199
자사, 82, 147
카타, 57, 173
아하, 46, 140
아하, 81, 168
타차, 84, 197
아바, 95, 157
나자, 76, 183
나라, 67, 161
사라, 99, 162
라카, 89, 151
차마, 67, 144
아아, 86, 193
다차, 94, 185
아파, 52, 177
파나, 49, 147
나바, 45, 185
라파, 85, 149
파아, 72, 195
나바, 58, 168
바마, 79, 163
바자, 45, 150
하가, 75, 164
차아, 73, 171
카라, 95, 140
하사, 92, 183
타다, 72, 187
가카, 59, 150
파다, 55, 196
마아, 72, 172
파마, 93, 152
하다, 76, 174
마다, 55, 161
타차, 74, 178
가차, 94, 169
타다, 88, 167
아라, 54, 149
라파, 78, 163
사파, 68, 197
하바, 94, 141
마카, 96, 162
나라, 47, 152
자하, 83, 157
차마, 40, 186
마하, 88, 191
하타, 77, 185
마아, 86, 188
가나, 85, 150
사타, 69, 167
라하, 59, 165
사차, 72, 155
파차, 76, 183
마사, 76, 161
바나, 54, 145
다하, 67, 168
가가, 57, 171
사사, 66, 165
파가, 45, 179
하자, 69, 169
카차, 99, 191
마하, 44, 196
나사, 40, 159
라자, 76, 169
파바, 58, 184
차타, 95, 160
하하, 77, 146
파가, 64, 158
아카, 88, 154
타하, 78, 188
타하, 45, 183
바바, 69, 140
마사, 60, 162
라하, 72, 173
다다, 93, 199
하파, 90, 176
타카, 98, 199
타하, 49, 191
바가, 66, 179
카사, 52, 172
하나, 72, 185
바사, 85, 166
아아, 75, 151
마바, 48, 163
카가, 66, 181
차나, 98, 174
바차, 57, 148
라다, 50, 185
바나, 56, 195
다사, 79, 154
바타, 54, 142
나마, 52, 149
라사, 89, 182
나자, 87, 197
파라, 95, 184
아아, 91, 176
카나, 52, 198
아파, 66, 191
사카, 43, 175
하나, 54, 168
라마, 90, 175
파라, 70, 141
하카, 48, 150
마라, 62, 162
자하, 64, 150
가파, 99, 170
라자, 56, 162
자라, 98, 186
다다, 72, 162
가사, 70, 150
카사, 43, 187
하가, 75, 184
하타, 50, 199
마하, 82, 196
마마, 58, 165
마나, 53, 143
나카, 49, 140
바차, 94, 177
아타, 54, 171
다바, 85, 196
라자, 88, 176
자차, 47, 199
카카, 81, 166
마다, 94, 195
차바, 80, 195
마타, 63, 175
나바, 40, 186
바바, 87, 149
라자, 56, 185
타사, 81, 143
아하, 76, 159
다타, 79, 151
차다, 61, 171
타마, 70, 184
가가, 56, 166
아마, 69, 152
바차, 43, 146
하아, 71, 178
마마, 80, 158
가라, 57, 174
자타, 59, 150
라나, 91, 177
자차, 98, 164
나바, 76, 176
아바, 49, 166
파타, 42, 147
사카, 50, 180
마타, 53, 184
바라, 45, 160
사차, 88, 147
바자, 52, 161
사차, 83, 166
다카, 50, 154
라차, 67, 159
나라, 95, 160
바타, 78, 183
나자, 65, 165
아카, 66, 172
사파, 70, 191
마아, 66, 189
다아, 80, 143
가차, 74, 162
자카, 73, 185
마사, 52, 159
나가, 85, 147
다마, 82, 165
타바, 47, 163
사차, 78, 146
마카, 96, 198
가바, 42, 191
바아, 55, 169
바차, 60, 196
다다, 86, 164
타사, 75, 168
나사, 54, 171
라하, 62, 179
가마, 60, 172
다차, 97, 183
가바, 99, 179
차자, 72, 177
하나, 76, 178
가아, 68, 168
차아, 78, 188
자사, 88, 150
다사, 96, 160
자나, 61, 155
타마, 88, 152
아다, 59, 146
다마, 89, 162
카마, 54, 151
아가, 80, 189
마파, 88, 156
아바, 79, 193
차아, 67, 199
타아, 79, 150
라차, 71, 145
자차, 96, 160
사다, 42, 159
카카, 90, 166
나아, 81, 149
자파, 43, 164
라자, 56, 148
차차, 83, 161
자자, 79, 164
자다, 50, 155
아다, 41, 142
바가, 72, 165
바차, 71, 143
바차, 90, 191
나바, 53, 182
아나, 61, 172
바아, 63, 166
자다, 63, 190
다바, 95, 148
차자, 49, 179
카나, 78, 197
파하, 49, 182
바라, 81, 157
하자, 78, 163
하하, 93, 162
마타, 82, 175
차타, 84, 164
라가, 81, 189
차카, 45, 164
바차, 56, 173
타가, 64, 184
마다, 96, 161
가자, 41, 186
사파, 91, 181
차아, 66, 188
사자, 79, 174
사다, 86, 176
아자, 41, 168
타가, 40, 152
나나, 85, 177
아라, 99, 142
바아, 50, 184
하파, 56, 196
하마, 54, 142
카나, 95, 187
바바, 48, 169
바사, 89, 151
카마, 47, 195
마차, 91, 183
나바, 64, 154
사마, 71, 142
차라, 95, 199
가나, 75, 160
아자, 48, 194
마카, 70, 143
하차, 47, 168
파차, 52, 193
사하, 81, 179
파아, 84, 151
다가, 75, 143
라카, 45, 162
나다, 54, 170
라자, 57, 151
자차, 64, 146
사아, 64, 154
사파, 99, 171
파마, 93, 187
카타, 89, 153
하하, 61, 149
마자, 71, 161
사마, 81, 158
라가, 59, 187
차사, 56, 186
마파, 78, 195
가사, 81, 170
다파, 69, 165
바타, 40, 156
가다, 49, 172
타자, 56, 146
차다, 56, 186
마다, 82, 177
파카, 73, 160
자라, 73, 175
하사, 82, 160
아가, 80, 194
자카, 57, 158
바가, 59, 175
가나, 98, 189
카차, 93, 166
사아, 82, 181
사자, 65, 179
마사, 57, 150
사타, 44, 180
라바, 57, 190
가자, 73, 168
바라, 81, 157
아타, 55, 192
바사, 73, 169
아사, 94, 155
자나, 84, 191
가아, 68, 146
마가, 52, 140
타나, 41, 146
하카, 63, 154
아카, 94, 181
카하, 75, 177
라아, 42, 171
마다, 85, 192
다하, 68, 141
차나, 75, 181
라나, 62, 163
아타, 52, 157
아다, 93, 180
카아, 72, 189
나마, 49, 144
아카, 74, 148
하자, 42, 186
타가, 55, 152
